Animal_id Breed FX2 FX3 FX4 FX5 FX6 FX7 NAVEL COLOR Management_group Sex Proportion_taurine prob hap1 hap2
012004 TC PTR01 8 Alexandria 0 NA Alexandria 7 4 HD1__10715 Heifer_[H] 0.66321 1 129 129
012007 TC NPG06 8 Alexandria 0 NA Alexandria 8 4 HD1__13301 Steer_[S] 0.704277 1 30 30
012009 TC PBP01 8 Alexandria 0 NA Alexandria 6.5 4 HD1__10838 Heifer_[H] 0.671893 0.947259950018441 28 129
012011 TC NPG07 8 Alexandria 0 NA Alexandria 6 4.33333 HD1__10488 Steer_[S] 0.63139 0.935362552845438 129 31
012013 TC NPG02 8 Alexandria 0 NA NA 8 4 HD1__13302 Steer_[S] 0.634722 0.992222777236036 145 42
012015 TC NPG06 8 Alexandria 0 NA Alexandria 8 5.33333 HD1__28 Steer_[S] 0.747195 1 145 145
012016 TC PTR01 8 Alexandria 0 NA Alexandria 7 4 HD1__10843 Heifer_[H] 0.69703 0.915425796265155 129 72
012019 TC NPG02 8 Alexandria 0 NA NA 9 4 HD1__13303 Steer_[S] 0.704134 0.985705343304503 145 74
012021 TC PBP01 8 Alexandria 0 NA Alexandria 8.5 4 HD1__10848 Heifer_[H] 0.72785 1 63 145
012023 TC PTR01 8 Alexandria 0 NA Alexandria 6.5 4 HD1__470 Heifer_[H] 0.717288 0.94732802144786 47 63
012024 TC PTR01 8 Alexandria 0 NA Alexandria 9 4 HD1__10853 Heifer_[H] 0.724204 0.997867359772814 30 72
012028 TC PTR01 8 Alexandria 0 NA Alexandria 8.5 4.5 HD1__10690 Heifer_[H] 0.786919 0.9348490167538 44 61
012032 TC NPG02 8 Alexandria 0 NA NA 8 2 HD1__13305 Steer_[S] 0.661935 0.915425796265155 72 129
012035 TC PBP01 8 Alexandria 0 NA NA 6.5 4 HD1__10831 Heifer_[H] 0.696821 0.963296158579818 129 126
012036 TC NPG06 8 Alexandria 0 NA Alexandria 5 4 HD1__13307 Steer_[S] 0.632016 1 129 129
012039 TC PTR01 8 Alexandria 0 NA Alexandria 9 4 HD1__10839 Heifer_[H] 0.686716 0.962771923357579 79 59
012042 TC NPG06 8 Alexandria 0 NA Alexandria 9 4 HD1__13309 Steer_[S] 0.687057 0.953515629566798 72 145
012045 TC PBP01 8 Alexandria 0 NA NA 9 2 HD1__13311 Heifer_[H] 0.715541 0.932345610086123 72 126
012047 TC PBP01 8 Alexandria 0 Alexandria Alexandria 8 4 HD1__10844 Heifer_[H] 0.659195 0.962116379550636 28 145
012055 TC PBP01 8 Alexandria 0 NA Alexandria 8.5 2 HD1__10696 Heifer_[H] 0.6673 0.928377372384802 129 1
012057 TC PBP01 8 Alexandria 0 NA NA 8 2 HD1__472 Heifer_[H] 0.671844 1 72 72
012058 TC NPG06 8 Alexandria 0 NA Alexandria 7 4 HD1__29 Steer_[S] 0.808827 0.996510861055745 143 72
012059 TC PBP01 9 Alexandria 0 NA NA 8.5 4 HD1__10703 Heifer_[H] 0.669639 0.941138983460667 129 30
012060 TC NPG06 9 Alexandria 0 NA Alexandria 8 4 HD1__30 Steer_[S] 0.824865 1 120 145
012062 TC NPG02 9 Alexandria 0 NA NA 7 4 HD1__13312 Steer_[S] 0.750898 1 147 65
012065 TC PBP01 9 Alexandria 0 NA Alexandria 8.5 4 HD1__10845 Heifer_[H] 0.731956 0.999534170359988 72 85
012066 TC NPG06 9 Alexandria 0 NA Alexandria 9 3.33333 HD1__13313 Steer_[S] 0.663145 0.9554186075053 28 75
012070 TC PBP01 9 Alexandria 0 NA Alexandria 8 2 HD1__11519 Heifer_[H] 0.653966 0.954993101089679 100 72
012071 TC PTR01 9 Alexandria 0 NA Alexandria 8.5 4 HD1__10709 Heifer_[H] 0.707466 1 74 74
012074 TC PBP01 9 Alexandria 0 NA NA 9 2 HD1__10855 Heifer_[H] 0.666466 1 73 72
012078 TC PTR01 9 Alexandria 0 NA Alexandria 7 3.5 HD1__10860 Heifer_[H] 0.722105 0.915425796265155 129 72
012079 TC PBP01 9 Alexandria 0 NA Alexandria 9 2 HD1__10865 Heifer_[H] 0.692506 1 72 72
012080 TC PBP01 9 Alexandria 0 NA NA 7.5 4 HD1__10833 Heifer_[H] 0.602418 1 71 74
012081 TC PTR01 9 Alexandria 0 NA Alexandria 7 4 HD1__473 Heifer_[H] 0.644395 0.991811720977462 33 129
012087 TC NPG06 9 Alexandria 0 NA Alexandria 9 2 HD1__10492 Steer_[S] 0.719525 1 72 72
012095 TC NPG07 9 Alexandria 0 NA Alexandria 6.66667 4.33333 HD1__13317 Steer_[S] 0.629439 0.985705343304503 145 74
012096 TC PTR01 9 Alexandria 0 NA Alexandria 7.5 4.5 HD1__475 Heifer_[H] 0.753519 0.939017455766502 47 75
012097 TC PTR01 9 Alexandria 0 NA Alexandria 9 5 HD1__476 Heifer_[H] 0.693722 0.985705343304503 145 74
012098 TC PBP01 9 Alexandria 0 NA Alexandria 8.5 4.5 HD1__10841 Heifer_[H] 0.771106 0.991514368547679 145 129
012102 TC NPG06 9 Alexandria 0 NA Alexandria 8 2 HD1__10493 Steer_[S] 0.670223 1 73 72
012103 TC PTR01 9 Alexandria 0 NA Alexandria 7.5 4 HD1__477 Heifer_[H] 0.672196 0.98734022287071 129 40
012107 TC PBP01 9 Alexandria 0 NA Alexandria 8.5 4 HD1__10851 Heifer_[H] 0.790615 1 75 75
012108 TC PTR01 9 Alexandria 0 NA Alexandria 9 4 HD1__10724 Heifer_[H] 0.683596 0.953515629566798 72 145
012112 TC NPG02 9 Alexandria 0 NA NA 8 4 HD1__13319 Steer_[S] 0.708687 0.954647415380566 129 75
012114 TC NPG06 9 Alexandria 0 NA Alexandria 8 3.66667 HD1__10495 Steer_[S] 0.624596 1 72 72
012116 TC PBP01 9 Alexandria 0 NA Alexandria 9 4 HD1__10856 Heifer_[H] 0.644759 0.997867359772814 72 30
012117 TC PTR01 9 Alexandria 0 NA Alexandria 9 3.5 HD1__480 Heifer_[H] 0.678402 0.983843188615212 6 126
012118 TC PBP01 8 Alexandria 0 NA Alexandria 8.5 4 HD1__10861 Heifer_[H] 0.705373 1 73 72
012122 TC PBP01 9 Alexandria 0 NA NA 9 4 HD1__10866 Heifer_[H] 0.678908 0.999917888826288 76 22
012123 TC PBP01 10 Alexandria 0 NA Alexandria 7 4 HD1__10837 Heifer_[H] 0.683252 1 134 129
